gradient_boosting_classifier,criterion,friedman_mse,squared_error,learning_rate,0.05,0.1,0.3,min_samples_split,10,2,5,50*,n_estimators,100,50,500,subsample,0.7,1.0,warm_start,Performance
1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0.9637
1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0.9602
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0.9652
1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0.9461
1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0.9505
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0.8967
1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0.9459
1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0.9255
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0.8951
1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0.9461
1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0.9457
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0.9251
1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0.9265
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0.9624
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0.9665
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0.9671
1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.9264
1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0.9461
1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0.9263
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0.9258
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0.9497
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0.8951
1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0.9262
1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.8951
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.9704
1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0.9459
1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0.9719
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0.9431
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0.9274
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0.9262
1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0.9459
1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.9592
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0.9662
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0.9265
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.9665
1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0.8956
1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0.9268
1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0.9475
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0.9452
1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0.8966
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0.9633
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0.8965
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0.897
