multinomial_nb,alpha,0.01,0.1,0.5,1.0,10.0,fit_prior,force_alpha,Performance
1,1,0,0,0,0,1,1,0,0.8341
1,1,0,0,0,0,1,1,1,0.8341
1,1,0,0,0,0,1,0,0,0.8349
1,1,0,0,1,0,0,0,0,0.836
1,1,0,0,1,0,0,1,1,0.8358
1,1,1,0,0,0,0,0,0,0.8363
1,1,0,1,0,0,0,0,0,0.8364
1,1,1,0,0,0,0,1,1,0.8362
1,1,1,0,0,0,0,0,1,0.8363
1,1,0,0,0,1,0,0,0,0.8361
1,1,0,1,0,0,0,0,1,0.8364
1,1,0,0,0,1,0,0,1,0.8361
1,1,0,0,0,1,0,1,1,0.8357
1,1,0,0,1,0,0,0,1,0.836
1,1,0,1,0,0,0,1,0,0.8362
1,1,0,1,0,0,0,1,1,0.8362
1,1,1,0,0,0,0,1,0,0.8362
1,1,0,0,0,1,0,1,0,0.8357
1,1,0,0,0,0,1,0,1,0.8349
1,1,0,0,1,0,0,1,0,0.8358
