sgd,average,early_stopping,fit_intercept,loss,epsilon_insensitive,hinge,huber,log_loss,modified_huber,perceptron,squared_error,penalty,elasticnet,l1,l2,None,shuffle,warm_start,Performance
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.8973
1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0.0988
1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0.3237
1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.9157
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.7414
1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0.8875
1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0.8751
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0.405
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0.9108
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9179
1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0.9093
1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0.9055
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.6507
1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.2378
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.8998
1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.1005
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.9024
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.9062
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.9078
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.9038
1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0.8974
1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.0971
1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0.9131
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0.9058
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9058
1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.0964
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.0826
1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0.9103
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0.1915
1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0.1037
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.3119
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0.3836
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0.8999
1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0.8875
1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.9059
1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.8998
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0.8471
1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0.3494
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.7748
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0.4483
1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.8999
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0.885
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.9114
1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.9153
1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0.8875
1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0.915
1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0.1177
1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.8847
1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.1022
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.912
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.9056
1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0.9047
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0888
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0.9114
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0.891
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.0126
1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.9029
1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.0971
1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0033
